DATA,Cód. Contabil Débito,Cód. Contabil Crédito,Valor,Cód. Histórico,Complemento Histórico,Inicia Lote,Código Matriz/Filial,Centro de Custo Débito,Centro de Custo Crédito
01/12/2022,,,65.45,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.2,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.05,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.1,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.28,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22122,,
01/12/2022,,,0.02,1,Vendas PDV,1,22122,,
01/12/2022,,,0.0,1,Vendas PDV,1,22122,,
01/12/2022,,,0.25,1,Vendas PDV,1,22122,,
01/12/2022,,,0.0,1,Vendas PDV,1,22122,,
01/12/2022,,,0.15,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22122,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.05,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.05,1,Vendas PDV,1,22112,,
01/12/2022,,,0.42,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.1,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.1,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.25,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.05,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22122,,
01/12/2022,,,0.0,1,Vendas PDV,1,22122,,
01/12/2022,,,0.0,1,Vendas PDV,1,22122,,
01/12/2022,,,0.0,1,Vendas PDV,1,22122,,
01/12/2022,,,0.05,1,Vendas PDV,1,22122,,
01/12/2022,,,0.0,1,Vendas PDV,1,22122,,
01/12/2022,,,0.0,1,Vendas PDV,1,22122,,
01/12/2022,,,0.64,1,Vendas PDV,1,22122,,
01/12/2022,,,0.0,1,Vendas PDV,1,22122,,
01/12/2022,,,0.1,1,Vendas PDV,1,22122,,
01/12/2022,,,0.45,1,Vendas PDV,1,22122,,
01/12/2022,,,0.0,1,Vendas PDV,1,22122,,
01/12/2022,,,0.0,1,Vendas PDV,1,22122,,
01/12/2022,,,0.0,1,Vendas PDV,1,22122,,
01/12/2022,,,0.0,1,Vendas PDV,1,22122,,
01/12/2022,,,0.0,1,Vendas PDV,1,22122,,
01/12/2022,,,0.0,1,Vendas PDV,1,22122,,
01/12/2022,,,0.0,1,Vendas PDV,1,22122,,
01/12/2022,,,0.0,1,Vendas PDV,1,22122,,
01/12/2022,,,0.0,1,Vendas PDV,1,22122,,
01/12/2022,,,0.0,1,Vendas PDV,1,22122,,
01/12/2022,,,1.31,1,Vendas PDV,1,22122,,
01/12/2022,,,0.0,1,Vendas PDV,1,22122,,
01/12/2022,,,0.0,1,Vendas PDV,1,22122,,
01/12/2022,,,0.0,1,Vendas PDV,1,22122,,
01/12/2022,,,0.0,1,Vendas PDV,1,22122,,
01/12/2022,,,0.0,1,Vendas PDV,1,22122,,
01/12/2022,,,0.0,1,Vendas PDV,1,22122,,
01/12/2022,,,0.0,1,Vendas PDV,1,22122,,
01/12/2022,,,0.0,1,Vendas PDV,1,22122,,
01/12/2022,,,0.0,1,Vendas PDV,1,22122,,
01/12/2022,,,0.0,1,Vendas PDV,1,22122,,
01/12/2022,,,0.0,1,Vendas PDV,1,22122,,
01/12/2022,,,0.3,1,Vendas PDV,1,22122,,
01/12/2022,,,0.0,1,Vendas PDV,1,22122,,
01/12/2022,,,0.05,1,Vendas PDV,1,22122,,
01/12/2022,,,0.25,1,Vendas PDV,1,22122,,
01/12/2022,,,0.0,1,Vendas PDV,1,22122,,
01/12/2022,,,0.0,1,Vendas PDV,1,22122,,
01/12/2022,,,0.0,1,Vendas PDV,1,22122,,
01/12/2022,,,0.49,1,Vendas PDV,1,22122,,
01/12/2022,,,0.0,1,Vendas PDV,1,22122,,
01/12/2022,,,0.0,1,Vendas PDV,1,22122,,
01/12/2022,,,0.0,1,Vendas PDV,1,22122,,
01/12/2022,,,0.0,1,Vendas PDV,1,22122,,
01/12/2022,,,0.0,1,Vendas PDV,1,22122,,
01/12/2022,,,0.0,1,Vendas PDV,1,22122,,
01/12/2022,,,0.0,1,Vendas PDV,1,22122,,
01/12/2022,,,0.0,1,Vendas PDV,1,22122,,
01/12/2022,,,0.0,1,Vendas PDV,1,22122,,
01/12/2022,,,0.0,1,Vendas PDV,1,22122,,
01/12/2022,,,0.21,1,Vendas PDV,1,22122,,
01/12/2022,,,0.0,1,Vendas PDV,1,22122,,
01/12/2022,,,0.0,1,Vendas PDV,1,22122,,
01/12/2022,,,0.0,1,Vendas PDV,1,22122,,
01/12/2022,,,0.0,1,Vendas PDV,1,22122,,
01/12/2022,,,0.0,1,Vendas PDV,1,22122,,
01/12/2022,,,0.0,1,Vendas PDV,1,22122,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.03,1,Vendas PDV,1,22112,,
01/12/2022,,,0.25,1,Vendas PDV,1,22112,,
01/12/2022,,,0.25,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.33,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.05,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.30000000000000004,1,Vendas PDV,1,22112,,
01/12/2022,,,0.1,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.1,1,Vendas PDV,1,22112,,
01/12/2022,,,0.17,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.25,1,Vendas PDV,1,22112,,
01/12/2022,,,0.03,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.02,1,Vendas PDV,1,22112,,
01/12/2022,,,0.03,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22137,,
01/12/2022,,,3.0,1,Vendas PDV,1,22137,,
01/12/2022,,,0.0,1,Vendas PDV,1,22137,,
01/12/2022,,,0.0,1,Vendas PDV,1,22137,,
01/12/2022,,,0.0,1,Vendas PDV,1,22137,,
01/12/2022,,,0.0,1,Vendas PDV,1,22137,,
01/12/2022,,,0.0,1,Vendas PDV,1,22137,,
01/12/2022,,,0.0,1,Vendas PDV,1,22137,,
01/12/2022,,,0.38,1,Vendas PDV,1,22112,,
01/12/2022,,,0.65,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.25,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.31,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22112,,
01/12/2022,,,0.0,1,Vendas PDV,1,22122,,
01/12/2022,,,0.0,1,Vendas PDV,1,22122,,
01/12/2022,,,0.0,1,Vendas PDV,1,22122,,
01/12/2022,,,0.0,1,Vendas PDV,1,22122,,
01/12/2022,,,0.0,1,Vendas PDV,1,22122,,
01/12/2022,,,0.0,1,Vendas PDV,1,22122,,
01/12/2022,,,0.0,1,Vendas PDV,1,22122,,
01/12/2022,,,0.0,1,Vendas PDV,1,22122,,
01/12/2022,,,0.0,1,Vendas PDV,1,22122,,
01/12/2022,,,0.0,1,Vendas PDV,1,22122,,
01/12/2022,,,0.0,1,Vendas PDV,1,22122,,
01/12/2022,,,0.0,1,Vendas PDV,1,22122,,
01/12/2022,,,0.0,1,Vendas PDV,1,22122,,
